month,company,funding,region_or_hq,website,source_url,source_title,article_date,linkedin_count,email_count,review_reasons,source_file
April 2026,Hermeus,$297.0B Article: https://techcrunch.com/2026/04/01/startup-funding-shatters-all-records-in-q1/,,https://www.hermeus.com/,https://techcrunch.com/2026/04/01/startup-funding-shatters-all-records-in-q1/,,2026-04-01,2,2,aggregate_or_not_company_funding; funding_parse_error; implausibly_large_archive_amount,.tmp\research_reports\Hermeus_research_2026-04-14.md
April 2026,Anthropic,$189.0M Seed,,https://www.anthropic.com/legal/privacy?referrer=wordpress.com,https://news.crunchbase.com/venture/record-setting-global-funding-february-2026-openai-anthropic/,Massive AI Deals Drive $189B Startup Funding Record In February While Public Software Stocks Reel,,1,1,article_date_outside_month:2026-03-03,.tmp\research_reports\Anthropic_research_2026-04-14.md
April 2026,Aviatrix,$75.0M Series D,,https://aviatrix.com/solutions/use-cases/unified-cloud-network-fabric/,https://www.businesswire.com/news/home/20210223005330/en/Aviatrix-Raises-75-Million-in-Series-D-Funding,,,1,1,url_date_outside_month:2021-02-23; date_from_url_not_crawl; article_date_outside_month:2021-02-23,.tmp\research_reports\Aviatrix_research_2026-04-14.md
April 2026,Cashmere,,,https://wwwcashmere.com/,,,,3,3,https://fintech.global/2024/09/10/cashmere-raises-3-6m-in-seed-funding-to-enhance-wealth-management-client-acquisition => url_date_outside_month:2024-09-10; https://news.fintech.io/post/102jiyd/cashmere-raises-3-6m-in-series-seed-funding => article_date_outside_month:2024-09-11; https://www.enterprisenews.com/press-release/story/69771/cashmere-secures-5m-seed-round-led-by-reach-capital-to-bridge-premium-publishing-and-generative-ai => article_date_outside_month:2026-02-20,.tmp\research_reports\Cashmere_research_2026-04-14.md
April 2026,Chartboost,$2.0M Series A,,https://www.chartboost.com/,https://techcrunch.com/2011/10/24/chartboost-raises-2-million-in-series-a-funding-already-profitable,,,3,3,old_or_truncated_source_url,.tmp\research_reports\Chartboost_research_2026-04-14.md
April 2026,Checkbox,$23.0M Series A,,https://www.checkbox.ai/old-pages/software/document-generation-software,https://venturebeat.com/business/checkbox-raises-23-million-series-a-to-become-the-front-door-for-in-house-legal-teams,Checkbox Raises $23 Million Series A to Become the Front Door for In-House Legal Teams | VentureBeat,,3,3,article_date_outside_month:2026-01-28,.tmp\research_reports\Checkbox_research_2026-04-14.md
April 2026,Darkstore,$1.4M Seed,,https://dataintelo.com/report/dark-store-market,https://techcrunch.com/2017/04/12/on-demand-delivery-fulfillment-startup-darkstore-raises-1-4-million-seed-round,,,3,3,old_or_truncated_source_url,.tmp\research_reports\Darkstore_research_2026-04-14.md
April 2026,Denki,$230.0B Series C,,https://www.denkichi.com/products/list?category_id=1759,https://news.crunchbase.com/venture/ai-leads-unicorn-board-count-january-2026/,,,3,3,aggregate_or_not_company_funding; implausibly_large_archive_amount,.tmp\research_reports\Denki_research_2026-04-14.md
April 2026,Dify,$30.0M Article: https://venturebeat.com/business/dify-raises-30-million-series-pre-a-to-power-enterprise-grade-agentic-workflows,,http://dify-china.com/,https://venturebeat.com/business/dify-raises-30-million-series-pre-a-to-power-enterprise-grade-agentic-workflows,,,3,3,funding_parse_error,.tmp\research_reports\Dify_research_2026-04-14.md
April 2026,Edyn,$2.0M Seed,,https://www.edntech.com/,https://venturebeat.com/ai/smart-gardening-startup-edyn-raises-2-million-seed-round,Funding Daily: Smart gardening startup Edyn raises $2 million seed round | VentureBeat,,2,2,article_date_outside_month:2016-02-10,.tmp\research_reports\Edyn_research_2026-04-14.md
April 2026,Firmable,$14.0M Series A,,https://www.formabledocs.com/,https://www.prnewswire.com/apac/news-releases/firmable-raises-14m-series-a-to-take-ai-native-sales-platform-global-302700507.html,Firmable Raises $14m Series A to Take AI-Native Sales Platform Global,,2,2,article_date_outside_month:2026-03-02,.tmp\research_reports\Firmable_research_2026-04-14.md
April 2026,Flip,$20.0M Series A,,https://helloflippers.com/,https://news.crunchbase.com/venture/vertical-ai-based-customer-service-flip-raise/,Exclusive: Flip Raises $20M Series A For Its Verticalized Approach To AI-Based Customer Service,,3,3,article_date_outside_month:2026-01-13,.tmp\research_reports\Flip_research_2026-04-14.md
April 2026,Givingli,$3.0M Seed,,https://www.givingli.com/,https://techcrunch.com/2021/06/29/digital-greeting-card-startup-givingli-wraps-3-million-seed-round,,,3,3,old_or_truncated_source_url,.tmp\research_reports\Givingli_research_2026-04-14.md
April 2026,GoComet,$7.0M Series A,,https://gocomet.com/,https://www.prnewswire.com/news-releases/gocomet-raises-7-million-series-a-funding-301477645.html,GoComet raises $7 Million Series A funding,,3,3,article_date_outside_month:2022-02-08,.tmp\research_reports\GoComet_research_2026-04-14.md
April 2026,Guidde,$50.0M Series B,,https://www.guidde.com/,https://www.prnewswire.com/news-releases/guidde-raises-50m-to-train-humans-on-ai-and-ai-on-humans-302697065.html,Guidde Raises $50M to Train Humans on AI and AI on Humans,,3,3,article_date_outside_month:2026-02-25,.tmp\research_reports\Guidde_research_2026-04-14.md
April 2026,Linqapp,,,https://trylinq.com/welcome,,,,3,3,"https://tracxn.com/d/companies/linqapp/__eDY6RoajGbr6K88OkJ4hAY5WKxEdmQ3f4inlPIg0FwQ => article_date_outside_month:2021-08-17; https://techcrunch.com/2026/02/02/linq-raises-20m-to-enable-ai-assistants-to-live-within-messaging-apps => url_date_outside_month:2026-02-02; https://techfundingnews.com/linq-20m-series-a-tq-ventures-ai-messaging-pivot => article_date_outside_month:2026-02-03, company_identity_not_found_in_page",.tmp\research_reports\Linqapp_research_2026-04-14.md
April 2026,Natalist,$5.0M Seed,,http://www.gender-swaying.com/,https://news.crunchbase.com/venture/fertility-test-startup-natalist-raises-5m-seed-round,Fertility Test Startup Natalist Raises $5M Seed Round,,1,1,article_date_outside_month:2019-10-03,.tmp\research_reports\Natalist_research_2026-04-14.md
April 2026,Newsy,$1.5M Series B,,https://tdr.news/about/,https://techcrunch.com/2011/03/28/newsy-raises-1-5-million-in-series-b-funding-for-mobile-news,,,3,3,old_or_truncated_source_url,.tmp\research_reports\Newsy_research_2026-04-14.md
April 2026,ONCOMATRYX,$67.0M Article: https://venturebeat.com/business/oncomatryx-raises-67-million-to-foster-the-clinical-development-of-its-quantum-adcs-in-spain,,http://oncomatryx.com/,https://venturebeat.com/business/oncomatryx-raises-67-million-to-foster-the-clinical-development-of-its-quantum-adcs-in-spain,,,2,2,funding_parse_error,.tmp\research_reports\ONCOMATRYX_research_2026-04-14.md
April 2026,Primer,$3.7M Seed,,https://primer.ai/,https://techcrunch.com/2020/05/12/homeschooling-startup-primer-closes-3-7m-seed-round-led-by-founders-fund,,,3,3,old_or_truncated_source_url,.tmp\research_reports\Primer_research_2026-04-14.md
April 2026,Sherpas,$3.2M Seed,,https://www.joinsherpa.com/,https://venturebeat.com/business/sherpas-raises-32m-seed-round-to-scale-the-ai-operating-layer-for-wealth-management,Sherpas Raises $3.2M Seed Round to Scale the AI Operating Layer for Wealth Management | VentureBeat,,3,3,article_date_outside_month:2026-02-23,.tmp\research_reports\Sherpas_research_2026-04-14.md
April 2026,ShowClix,$1.5M Series A,,https://www.showclix.io/,https://techcrunch.com/2009/08/27/showclix-secures-series-a-funding-for-event-ticketing-service,,,3,3,old_or_truncated_source_url,.tmp\research_reports\ShowClix_research_2026-04-14.md
April 2026,Skyfi,,,https://www.skyfilabs.com/,,,,3,3,https://www.prnewswire.com/news-releases/skyfi-secures-12-7-million-series-a-funding-to-advance-access-to-satellite-imagery-and-analytics-302660705.html => article_date_outside_month:2026-01-14; https://skyfi.com/en/press/skyfi-series-a-12-7-million-2026 => article_date_outside_month:2026-01-14; https://tracxn.com/d/companies/skyfi/__TnLGBYND_b19GO2s7N8uqTxvgbyoWpFuRE-Ky79rRG4 => article_date_outside_month:2022-03-02,.tmp\research_reports\Skyfi_research_2026-04-14.md
April 2026,Skyfire,$13.0M Series B,,https://skyfireconsulting.com/,https://techcrunch.com/2008/05/28/skyfire-raises-13-million-in-series-b-funding,,,3,3,old_or_truncated_source_url,.tmp\research_reports\Skyfire_research_2026-04-14.md
April 2026,Sphinx,$7.1M Seed,,https://sphx.org/,https://venturebeat.com/business/sphinx-raises-71m-to-build-every-financial-institutions-last-compliance-hire,Sphinx Raises $7.1M to Build Every Financial Institution's Last Compliance Hire | VentureBeat,,3,3,article_date_outside_month:2026-02-17,.tmp\research_reports\Sphinx_research_2026-04-14.md
April 2026,Stylesight,$16.0M Series A,,https://wgsn.com/,https://techcrunch.com/2008/09/03/stylesight-raises-16-million-in-series-a-funding,,,1,1,old_or_truncated_source_url,.tmp\research_reports\Stylesight_research_2026-04-14.md
April 2026,Treeline,$25.0M Series A,,http://www.treeline.ai/,https://www.prnewswire.com/news-releases/treeline-raises-25-million-to-reinvent-it-services-302729004.html,Treeline Raises $25 Million to Reinvent IT Services,,3,3,article_date_outside_month:2026-03-31,.tmp\research_reports\Treeline_research_2026-04-14.md
April 2026,TripIt,$5.1M Series B,,https://www.tripit.com/,https://techcrunch.com/2008/04/17/tripit-raises-51-million-in-series-b-funding,,,3,3,old_or_truncated_source_url,.tmp\research_reports\TripIt_research_2026-04-14.md
April 2026,Turbine,$25.0M Series B,,http://www.turbine.ai/,https://www.prnewswire.com/news-releases/turbine-secures-25m-series-b-led-by-interactive-venture-partners-with-participation-from-beiersdorf-venture-capital-announces-first-immunology-partnership-with-top-10-pharma-company-302695118.html,"Turbine Secures $25M Series B Led by Interactive Venture Partners with participation from Beiersdorf Venture Capital, Announces First Immunology Partnership with Top 10 Pharma Company",,3,3,article_date_outside_month:2026-02-24,.tmp\research_reports\Turbine_research_2026-04-14.md
April 2026,UpTake,$10.0M Series B,,https://uptake.com/,https://techcrunch.com/2008/09/17/uptake-raises-10-million-in-series-b-funding,,,2,2,old_or_truncated_source_url,.tmp\research_reports\UpTake_research_2026-04-14.md
April 2026,Variance,$21.5M Series A,,http://variance.com/,https://www.businesswire.com/news/home/20260331771752/en/Variance-Raises-%2421.5M-Series-A-to-Transform-Risk-Workflows-with-AI-Agents,,,3,3,url_date_outside_month:2026-03-31; date_from_url_not_crawl; article_date_outside_month:2026-03-31,.tmp\research_reports\Variance_research_2026-04-14.md
April 2026,Wilde,$2.0M Seed,,http://www.thewilde.com/,https://techcrunch.com/2018/07/02/online-bra-startup-harper-wilde-raises-2-million-in-seed-round,,,3,3,old_or_truncated_source_url,.tmp\research_reports\Wilde_research_2026-04-14.md
February 2026,Complyance,$20.0M Article: https://techcrunch.com/2026/02/11/complyance-raises-20m-to-help-companies-manage-risk-and-compliance/,,https://complinity.weebly.com/blog/simplify-business-operations-with-advanced-compliance-tracking-software,https://techcrunch.com/2026/02/11/complyance-raises-20m-to-help-companies-manage-risk-and-compliance/,,2026-02-11,2,2,funding_parse_error,.tmp\research_reports\Complyance_research_2026-04-14.md
February 2026,AirOps,$40M Series B,"San Francisco, CA + New York, NY",https://www.airops.com,,,,3,3,https://growthlist.co/advertising-startups => article_date_outside_month:2023-06-28; https://app.fundz.net/fundings/airops-funding-round-series-b-56e3c2 => article_date_outside_month:2025-11-10; https://nathanbenaich.substack.com/p/state-of-ai-december-2025-newsletter => article_date_outside_month:2025-11-30,.tmp\research_reports\AirOps_research_2026-02-15.md
February 2026,Deepgram,$130M Series C at $1.3B valuation (unicorn),"San Francisco, CA (originally Ann Arbor, MI)",https://deepgram.com,,,,3,2,https://www.zillionize.com/2026/01/13/deepgram-secures-130-m-series-c-to-scale-its-voice-ai-backbone => url_date_outside_month:2026-01-13; https://www.builtinsf.com/articles/deepgram-raises-130m-series-c-1b-valuation-20260115 => url_date_outside_month:2026-01-15; https://deepgram.com/learn/press-release-deepgram-raises-series-c => article_date_outside_month:2026-01-13,.tmp\research_reports\deepgram_research_report.md
February 2026,Fiddler AI,$30M Series C,"Palo Alto, CA",https://www.fiddler.ai,,,,4,2,https://www.fiddler.ai/press-releases/fiddler-raises-30m-series-c => article_date_outside_month:2026-01-27; https://mozilla.vc/fiddler-raises-30m-series-c-to-power-the-control-plane-for-ai-agents => article_date_outside_month:2026-01-28; https://www.fiddler.ai/newsroom => article_date_outside_month:2026-01-27,.tmp\research_reports\fiddler_ai_research_report.md
February 2026,Graici,$7.5M Series A,"Cleveland, OH",https://graici.com,https://thisweekinnlp.substack.com/p/this-week-in-nlp-377,This Week in NLP #377 - by Robert Dale - This Week in NLP,,1,1,candidate_was_not_specific_funding_article; candidate_title:This Week in NLP #377 - by Robert Dale - This Week in NLP,.tmp\research_reports\Graici_research_2026-02-15.md
February 2026,Kilo Code,$8M Seed,"San Francisco, CA + Amsterdam (coworking hubs)",https://kilo.ai,https://wetheflywheel.com/en/guides/open-source-ai-coding-agents-2026,Open-Source AI Coding Agents 2026: The Complete Comparison,,2,2,candidate_was_not_specific_funding_article; candidate_title:Open-Source AI Coding Agents 2026: The Complete Comparison,.tmp\research_reports\Kilo_Code_research_2026-02-15.md
February 2026,Lema AI,$24M Series A,"New York, NY",https://lema.ai,,,,0,3,missing_founder_linkedin,.tmp\research_reports\lema_ai_research_report.md
February 2026,Lemon Slice,$10.5M Seed,"San Francisco, CA",https://www.lemonslice.com,,,,2,3,https://www.thevccorner.com/p/vcs-2026-tech-bets-ais-next-moat => article_date_outside_month:2026-01-04; https://tracxn.com/d/venture-capital/matrix/__QKIt13p9YHhb_yX70FXIB3prWDxznrbiT4EtrzzvJnU => article_date_outside_month:2023-05-09; https://www.podcastrepublic.net/podcast/1145974783 => article_date_outside_month:2026-05-29,.tmp\research_reports\Lemon_Slice_research_2026-02-15.md
February 2026,Loop AI,$14M Series A,"San Francisco, CA",https://tryloop.ai,,,,0,0,missing_founder_linkedin,.tmp\research_reports\loop_ai_research_report.md
February 2026,Multifactor,$15M Seed,"San Francisco, CA",https://www.multifactor.com,,,,2,2,"https://fintech.global/2024/09/13/us-based-cybertech-companies-dominated-this-weeks-fintech-funding => url_date_outside_month:2024-09-13; https://fintech.global/2022/02/25/the-50-fintech-funding-rounds-to-keep-an-eye-on-this-week => url_date_outside_month:2022-02-25; https://scouts.yutori.com/1541d913-0ea9-42b9-8e62-652ddab20126 => article_date_outside_month:2025-12-03, company_identity_not_found_in_page",.tmp\research_reports\Multifactor_research_2026-02-15.md
February 2026,Rebirth,$50.0M,,https://ffvii.square-enix-games.com/en-gb/games/rebirth,https://www.prnewswire.com/news-releases/ai-video-startup-video-rebirth-raises-50-million-in-funding-302605395.html,AI Video Startup Video Rebirth Raises $50 Million in Funding,,6,6,article_date_outside_month:2025-11-05,.tmp\research_reports\Rebirth_research_2026-02-04.md
